
# Metric TPR, RefDB BLAST16S_10 V3-V5 class
100	99	97	95	90	Method
100.0	99.9	99.5	99.7	86.7	BLCA
99.6	99.8	99.7	99.8	98.6	CT1
98.5	99.3	99.2	99.1	97.6	CT2
95.4	96.7	97.1	96.2	87.4	KNN
98.3	98.8	98.8	98.4	94.0	Metaxa2
98.5	99.2	99.2	98.6	96.8	Q2_BLAST
99.9	99.9	99.7	99.7	98.1	Q2_SK
98.5	99.3	99.5	99.2	97.9	Q2_VS
99.8	99.9	99.6	99.7	75.9	Q1
100.0	99.9	99.6	99.8	96.6	RDP50
99.9	99.9	99.6	99.7	94.1	RDP80
100.0	99.9	99.6	99.8	96.5	SINTAX50
100.0	99.9	99.6	99.7	92.1	SINTAX80
100.0	99.9	99.6	99.8	96.2	NBC50
99.9	99.9	99.6	99.7	93.6	NBC80
100.0	99.9	99.6	99.8	98.0	BTOP
100.0	99.9	99.6	99.8	97.3	TOP
100.0	99.9	99.6	99.8	96.7	KTOP
100.0	99.9	99.6	99.8	96.6	Microclass
